Month,age,gender,targetset,accuracy,rt_mean,P_no,P_rt,M_no,M_rt,P1_no,P1_rt,P234_no,P234_rt,M1_no,M1_rt,M234_no,M234_rt,PV_no,PV_rt,PA_no,PA_rt,MV_no,MV_rt,MA_no,MA_rt,MAV_no,MAV_rt,V2A_no,V2A_rt,A2V_no,A2V_rt,V2V_no,V2V_rt,A2A_no,A2A_rt,PV2A_no,PV2A_rt,PA2V_no,PA2V_rt,MV2A_no,MV2A_rt,MA2V_no,MA2V_rt,PV2V_no,PV2V_rt,PA2A_no,PA2A_rt,MV2V_no,MV2V_rt,MA2A_no,MA2A_rt,P_Rr_no,P_Rr_rt,P_Rs_no,P_Rs_rt,M_Rr_no,M_Rr_rt,M_Rs_no,M_Rs_rt,T1V_no,T1V_rt,T1A_no,T1A_rt,T2V_no,T2V_rt,T2A_no,T2A_rt
281,A,F,1,0.9527,1.3897,28,1.095,62,1.5284,7,0.92882,21,1.153,15,1.384,47,1.5727,13,1.1018,15,1.0858,27,1.601,26,1.5619,9,1.2247,10,1.3585,13,1.5687,12,1.5021,13,1.3401,6,1.1292,4,1.0276,4,1.7009,9,1.8059,3,1.1679,5,1.0793,9,1.6086,8,1.503,10,1.1442,11,1.1531,20,1.645,27,1.5154,5,1.3307,7,1.1585,8,0.96804,7,1.1584
246,A,F,2,1,0.87947,32,0.98065,63,0.82988,9,0.98197,23,0.97305,15,0.89936,48,0.80809,17,0.86931,15,1.0927,27,0.77418,27,0.93674,9,0.67622,10,1.0865,14,0.83326,14,0.75723,14,0.90876,6,1.1031,5,0.80786,4,1.0556,9,0.84449,5,0.78758,5,0.93451,9,0.73339,9,0.89568,10,0.98076,13,0.96422,21,0.76418,27,0.84684,9,0.83312,7,1.1758,8,0.91346,7,1.1756
241,A,F,1,0.99324,0.67169,32,0.66265,63,0.67759,9,0.65658,23,0.66438,15,0.77177,48,0.64938,17,0.63289,15,0.6923,27,0.63688,27,0.74023,9,0.61471,10,0.69549,14,0.67575,14,0.60275,14,0.75972,6,0.71196,5,0.66716,4,0.67021,9,0.68173,5,0.63649,5,0.61275,9,0.58666,9,0.83096,10,0.64792,13,0.67756,21,0.62703,27,0.66746,9,0.6893,7,0.81158,8,0.5729,7,0.81133
297,A,M,2,1,0.73037,32,0.76172,63,0.71457,9,0.79431,23,0.74545,15,0.76853,48,0.69737,17,0.75053,15,0.77498,27,0.70969,27,0.75897,9,0.58813,10,0.8252,14,0.84179,14,0.62064,14,0.71975,6,0.8095,5,0.88544,4,0.85001,9,0.81613,5,0.64852,5,0.68668,9,0.6056,9,0.73688,10,0.77243,13,0.72889,21,0.67787,27,0.7144,9,0.709,7,0.85186,8,0.79571,7,0.85145
311,A,F,1,0.97973,0.84419,32,0.85206,63,0.84333,9,0.69621,23,0.91398,15,0.73863,48,0.87473,17,0.74238,15,0.97737,27,0.77974,27,0.95601,9,0.69201,10,0.97621,14,0.84983,14,0.75364,14,0.96439,6,1.0232,5,0.77535,4,0.90531,9,0.88342,5,0.71999,5,0.90481,9,0.77134,9,0.99395,10,0.94785,13,0.88215,21,0.9096,27,0.84525,9,0.73739,7,1.2212,8,0.74315,7,1.2326
367,A,F,2,1,0.67277,32,0.76341,63,0.62663,9,0.7914,23,0.75306,15,0.65418,48,0.61909,17,0.71393,15,0.82247,27,0.60652,27,0.65944,9,0.59205,10,0.8108,14,0.67687,14,0.57748,14,0.66963,6,0.88285,5,0.77836,4,0.7079,9,0.62362,5,0.68012,5,0.80827,9,0.52101,9,0.59998,10,0.78627,13,0.72306,21,0.55712,27,0.66635,9,0.7476,7,1.0827,8,0.67273,7,1.081
361,A,F,1,0.99324,0.88996,32,0.79919,63,0.93708,9,0.78927,23,0.79965,15,0.92366,48,0.9408,17,0.7994,15,0.791,27,0.91991,27,0.99366,9,0.82139,10,0.87619,14,0.94066,14,0.85588,14,0.98399,6,0.80403,5,0.89229,4,0.97788,9,0.97075,5,0.79795,5,0.84535,9,0.89113,9,1.0595,10,0.82125,13,0.78276,21,0.93896,27,0.94216,9,0.90292,7,0.93297,8,0.69415,7,0.93232
357,A,F,2,0.99324,0.88948,32,0.7777,62,0.94684,9,0.78559,23,0.77583,15,0.85042,47,0.97482,17,0.74567,15,0.8168,27,0.89379,26,1.0213,9,0.88833,10,0.87514,14,0.83081,14,0.84292,14,0.87614,6,0.9733,5,0.83813,4,0.73173,9,0.83342,5,0.78303,5,0.707,9,0.87785,9,0.96966,10,0.80383,13,0.75241,21,0.88745,26,1.0507,9,0.71009,7,0.77148,8,0.78142,7,0.7713
449,A,F,1,1,0.88715,32,1.0012,63,0.82986,9,0.93545,23,1.0284,15,0.87434,48,0.81411,17,0.89658,15,1.1242,27,0.88493,27,0.82702,9,0.65992,10,1.2387,14,0.98876,14,0.83338,14,0.78286,6,1.4277,5,0.8572,4,0.92013,9,1.0543,5,0.96626,5,0.85894,9,0.75663,9,0.73522,10,1.1782,13,0.91459,21,0.8441,27,0.79169,9,0.99464,7,1.4957,8,0.78949,7,1.5262
54,4,F,1,0.95946,1.6456,32,1.4611,61,1.7336,9,1.6433,23,1.4025,14,1.7871,47,1.7183,17,1.5181,15,1.4056,26,1.7229,26,1.7944,9,1.6212,10,1.6971,14,1.5552,14,1.7381,13,1.3323,6,1.6052,5,1.5393,4,1.8584,9,1.5622,5,1.3937,5,1.1342,9,1.9252,8,1.4537,10,1.2685,13,1.4952,20,1.6617,27,1.7656,9,1.7537,7,1.3947,8,1.2557,7,1.389
50,4,F,1,0.81081,2.1143,31,2.0587,45,2.1535,9,2.2581,22,1.9732,10,2.2339,35,2.1357,17,2.2308,14,1.8656,21,2.1738,16,2.3868,8,1.6715,8,1.6903,14,2.4186,10,2.2421,10,2.1061,5,1.7133,5,2.2114,3,1.628,9,2.5115,5,2.5825,5,1.6827,5,1.9158,5,2.4827,9,2.1364,13,1.8766,14,2.1436,21,2.114,9,2.4999,6,1.7281,8,1.9327,6,1.7352
49,4,M,1,0.91892,1.9365,28,1.8406,56,1.9878,8,1.7364,20,1.8815,13,2.3404,43,1.87,14,1.969,14,1.7236,24,1.9871,23,2.0534,9,1.8164,10,1.8531,12,2.193,14,1.8789,12,1.8392,6,1.7977,5,2.3629,4,1.9308,7,2.0659,5,1.6698,5,1.5495,9,1.9967,7,2.0379,10,2.1171,10,1.6483,20,1.9369,23,1.8143,6,1.717,7,2.1103,8,2.1585,7,2.1096
54,4,M,2,0.59459,2.057,18,2.2436,31,1.9474,4,2.5675,14,2.1645,7,1.9581,24,1.9502,11,2.394,7,2.0199,21,2.1128,2,0.69311,8,1.8275,4,2.5342,10,2.3822,9,2.0354,2,1.0834,4,2.5346,3,2.978,0,,7,2.13,2,2.2775,2,1.0834,7,1.9812,0,,5,2.1247,9,2.1917,13,2.0292,11,1.8535,5,1.9541,2,1.2237,6,2.7171,2,1.2237
52,4,F,2,0.92568,1.8454,26,2.1332,56,1.7176,8,2.3972,18,2.0212,12,1.9435,44,1.6555,15,2.1906,11,2.0625,25,1.6458,24,1.7975,7,1.6865,6,2.2384,10,1.8017,15,1.4926,13,1.8053,3,2.362,3,2.6654,3,2.1618,7,1.4346,7,1.811,6,2.0493,8,1.2119,7,1.5932,9,2.008,9,2.0138,17,1.2856,27,1.8842,8,2.4157,3,2.591,7,1.9204,3,2.5912
49,4,F,2,0.90541,1.5495,22,1.8254,61,1.4445,7,2.078,15,1.7111,14,1.5141,47,1.4319,10,1.7682,12,1.8812,27,1.3602,25,1.6578,9,1.1309,6,1.6261,13,1.4546,11,1.1994,13,1.7292,3,1.6372,4,1.3065,3,1.6332,9,1.517,2,2.2504,5,2.0118,9,0.96619,8,1.5582,7,1.6009,8,1.8158,20,1.3198,27,1.5138,4,2.5455,4,2.6331,6,1.2634,4,2.6358
48,4,M,1,0.40541,1.948,8,2.3186,30,1.8542,2,1.7017,6,2.5273,7,1.9672,23,1.8051,3,2.2005,5,2.4072,12,1.8408,15,1.9675,3,1.2968,5,2.2691,4,1.6718,7,1.873,6,1.6284,3,2.8097,1,1.6808,2,1.4331,3,1.6623,2,2.4383,1,1.5351,5,1.6464,5,1.6515,3,2.2782,3,2.7751,12,1.481,11,2.1747,3,2.1765,4,2.3155,0,NaN,4,2.3175
