Month,age,gender,targetset,accuracy,rt_mean,P_no,P_rt,M_no,M_rt,P1_no,P1_rt,P234_no,P234_rt,M1_no,M1_rt,M234_no,M234_rt,PV_no,PV_rt,PA_no,PA_rt,MV_no,MV_rt,MA_no,MA_rt,MAV_no,MAV_rt,V2A_no,V2A_rt,A2V_no,A2V_rt,V2V_no,V2V_rt,A2A_no,A2A_rt,PV2A_no,PV2A_rt,PA2V_no,PA2V_rt,MV2A_no,MV2A_rt,MA2V_no,MA2V_rt,PV2V_no,PV2V_rt,PA2A_no,PA2A_rt,MV2V_no,MV2V_rt,MA2A_no,MA2A_rt,P_Rr_no,P_Rr_rt,P_Rs_no,P_Rs_rt,M_Rr_no,M_Rr_rt,M_Rs_no,M_Rs_rt,T1V_no,T1V_rt,T1A_no,T1A_rt,T2V_no,T2V_rt,T2A_no,T2A_rt
281,A,F,1,0.9527,1.3915,28,1.0912,62,1.5276,7,0.93265,21,1.147,15,1.3879,47,1.5662,13,1.1118,15,1.0824,27,1.5956,26,1.564,9,1.2257,10,1.3563,13,1.5683,12,1.5019,13,1.3394,6,1.1339,4,1.0295,4,1.6791,9,1.7993,3,1.1849,5,1.0824,9,1.6049,8,1.5069,10,1.1436,11,1.1545,20,1.6507,27,1.5075,5,1.3338,7,1.1602,8,0.97058,7,1.1617
246,A,F,2,1,0.87955,32,0.97615,63,0.82888,9,0.98263,23,0.97876,15,0.90441,48,0.80839,17,0.87299,15,1.102,27,0.7748,27,0.9377,9,0.67503,10,1.0821,14,0.83254,14,0.7567,14,0.90716,6,1.0992,5,0.81309,4,1.0488,9,0.84255,5,0.78777,5,0.93336,9,0.73759,9,0.89676,10,0.98317,13,0.9675,21,0.76278,27,0.84474,9,0.83269,7,1.1735,8,0.91832,7,1.1766
241,A,F,1,0.99324,0.67193,32,0.66001,63,0.678,9,0.65736,23,0.66457,15,0.77014,48,0.6486,17,0.63296,15,0.69462,27,0.63822,27,0.73836,9,0.61279,10,0.69472,14,0.67677,14,0.60371,14,0.75612,6,0.7142,5,0.66701,4,0.66666,9,0.68111,5,0.6367,5,0.60821,9,0.58525,9,0.84116,10,0.64942,13,0.67475,21,0.62568,27,0.66491,9,0.68817,7,0.81213,8,0.57266,7,0.81133
297,A,M,2,1,0.72975,32,0.75977,63,0.71414,9,0.79364,23,0.74702,15,0.77276,48,0.69586,17,0.74938,15,0.77435,27,0.71028,27,0.75989,9,0.5891,10,0.8239,14,0.84247,14,0.61993,14,0.71802,6,0.81016,5,0.89213,4,0.84978,9,0.81182,5,0.64865,5,0.68909,9,0.60452,9,0.73503,10,0.77399,13,0.73132,21,0.67483,27,0.71446,9,0.7076,7,0.85167,8,0.79527,7,0.85111
311,A,F,1,0.97973,0.84553,32,0.85077,63,0.84258,9,0.6961,23,0.91212,15,0.73972,48,0.87573,17,0.74179,15,0.97619,27,0.77494,27,0.95903,9,0.69192,10,0.97548,14,0.8447,14,0.75359,14,0.96428,6,1.0262,5,0.77593,4,0.90939,9,0.89006,5,0.71852,5,0.90493,9,0.77048,9,0.99273,10,0.94537,13,0.88702,21,0.91148,27,0.84635,9,0.73753,7,1.2251,8,0.74707,7,1.2309
367,A,F,2,1,0.67337,32,0.7619,63,0.62632,9,0.79115,23,0.75016,15,0.65292,48,0.61981,17,0.71265,15,0.82249,27,0.60668,27,0.65972,9,0.5909,10,0.81185,14,0.67632,14,0.57808,14,0.66962,6,0.88227,5,0.77912,4,0.70889,9,0.62506,5,0.67974,5,0.79009,9,0.52012,9,0.59885,10,0.78102,13,0.72525,21,0.55698,27,0.66573,9,0.74869,7,1.0859,8,0.67456,7,1.0812
361,A,F,1,0.99324,0.89087,32,0.79645,63,0.93761,9,0.79159,23,0.80022,15,0.92462,48,0.94066,17,0.80465,15,0.78893,27,0.91875,27,0.99339,9,0.82101,10,0.87492,14,0.93588,14,0.8571,14,0.99248,6,0.80749,5,0.89415,4,0.977,9,0.96666,5,0.79674,5,0.83469,9,0.88828,9,1.0706,10,0.82121,13,0.78219,21,0.9391,27,0.94386,9,0.90148,7,0.93097,8,0.69037,7,0.93114
357,A,F,2,0.99324,0.88936,32,0.77737,62,0.94629,9,0.78352,23,0.77568,15,0.84796,47,0.97842,17,0.74127,15,0.81784,27,0.89362,26,1.0174,9,0.88532,10,0.87508,14,0.8332,14,0.83857,14,0.87423,6,0.96264,5,0.83436,4,0.73145,9,0.83411,5,0.78308,5,0.71003,9,0.87224,9,0.97034,10,0.80278,13,0.75344,21,0.88723,26,1.0518,9,0.71035,7,0.77155,8,0.77889,7,0.77066
449,A,F,1,1,0.88645,32,0.99528,63,0.82965,9,0.92983,23,1.0249,15,0.8702,48,0.81414,17,0.89844,15,1.1219,27,0.88435,27,0.82763,9,0.66175,10,1.2316,14,0.9884,14,0.83003,14,0.78269,6,1.4376,5,0.86335,4,0.92113,9,1.0581,5,0.97077,5,0.85957,9,0.75606,9,0.73637,10,1.1653,13,0.91741,21,0.84691,27,0.79019,9,0.99867,7,1.5175,8,0.7883,7,1.4906
350,A,M,1,0.95946,1.0261,23,0.93031,63,1.0571,6,1.029,17,0.9012,16,1.0818,47,1.05,17,0.91236,6,0.97686,25,0.97041,29,1.2241,9,0.75706,13,1.1011,14,1.1461,10,0.96689,5,0.88571,3,0.73865,4,1.1607,10,1.2079,10,1.1356,7,0.86173,0,,3,1.221,5,0.88394,6,0.75725,11,0.96952,20,1.0201,27,1.0698,8,1.0752,1,2.3566,9,0.77073,1,2.3566
546,A,M,2,0.97973,0.49304,32,0.51041,63,0.48481,9,0.49751,23,0.51597,15,0.41528,48,0.50656,17,0.45102,15,0.57717,27,0.4543,27,0.54263,9,0.40197,10,0.56699,14,0.44828,14,0.43028,14,0.49633,6,0.61714,5,0.45672,4,0.49668,9,0.44325,5,0.45921,5,0.50419,9,0.41505,9,0.49289,10,0.48691,13,0.5354,21,0.47587,27,0.52812,9,0.4542,7,0.60848,8,0.44668,7,0.60873
337,A,M,1,0.91216,0.93149,24,0.9804,60,0.91246,6,0.89026,18,1.0104,15,0.93046,45,0.90596,10,0.88652,14,1.0499,27,0.8124,24,1.1021,9,0.71361,9,1.1671,13,0.82928,11,0.69364,12,1.0991,5,1.0122,4,0.68001,4,1.372,9,0.89424,2,0.85374,5,0.82575,9,0.659,7,1.3113,8,0.82899,10,1.1534,19,0.83806,26,0.95403,2,1.2166,6,1.515,8,0.80018,6,1.5087
303,A,M,2,1,0.86715,32,0.91532,63,0.84225,9,0.97745,23,0.89302,15,0.82861,48,0.8465,17,0.83728,15,1.0042,27,0.78883,27,0.91424,9,0.78678,10,0.9082,14,0.78639,14,0.82418,14,0.93857,6,0.96861,5,0.89204,4,0.82258,9,0.73028,5,0.8335,5,0.96235,9,0.81985,9,0.93496,10,0.88534,13,0.89616,21,0.81755,27,0.86924,9,0.83437,7,1.1115,8,0.84227,7,1.1099
275,A,M,1,1,0.89319,32,0.83879,63,0.92127,9,0.95692,23,0.78792,15,0.93895,48,0.91552,17,0.83039,15,0.84526,27,0.89043,27,0.97704,9,0.85175,10,0.77982,14,0.92098,14,0.77418,14,0.89523,6,0.75758,5,0.92524,4,0.81682,9,0.91371,5,0.71031,5,0.79176,9,0.80737,9,0.95896,10,0.7287,13,0.83561,21,0.8383,27,0.97606,9,0.85774,7,0.95411,8,0.80088,7,0.9505
244,A,M,2,0.99324,0.81392,32,0.92077,63,0.75512,9,0.87472,23,0.95311,15,0.70219,48,0.77319,17,0.82881,15,1.039,27,0.6915,27,0.85134,9,0.67247,10,0.84355,14,0.7594,14,0.72211,14,0.9808,6,0.84162,5,0.86122,4,0.84118,9,0.7056,5,0.91584,5,1.2103,9,0.61266,9,0.84714,10,0.85401,13,1.0201,21,0.71576,27,0.81451,9,0.77598,7,1.4034,8,0.88725,7,1.3979
83,6,M,1,0.93919,1.3963,30,1.1799,61,1.5046,9,1.1034,21,1.2137,13,1.5459,48,1.4979,16,1.0735,14,1.2969,26,1.4471,28,1.6156,7,1.3342,7,1.5803,11,1.4996,15,1.2185,13,1.5671,4,1.5971,3,1.071,3,1.5571,8,1.6594,7,1.1246,5,1.2254,8,1.3056,8,1.7825,10,1.3144,11,1.1152,19,1.4759,29,1.5153,8,1.1561,7,1.3209,8,0.99837,7,1.3212
83,6,F,2,0.98649,0.84756,32,0.84211,63,0.84443,9,0.99645,23,0.78271,15,0.89994,48,0.83086,17,0.87958,15,0.8066,27,0.8394,27,0.91896,9,0.65934,10,0.9533,14,0.90709,14,0.71369,14,0.677,6,1.0075,5,1.0712,4,0.86785,9,0.80632,5,0.63805,5,0.64981,9,0.75696,9,0.68799,10,0.88072,13,0.70895,21,0.70242,27,0.92349,9,0.8458,7,0.92194,8,0.91837,7,0.91518
77,6,M,1,0.95946,1.0983,32,1.0506,62,1.1268,9,0.85469,23,1.129,15,1.1725,47,1.1111,17,0.84266,15,1.2808,27,1.064,26,1.2517,9,0.94325,10,1.5568,14,0.94098,14,0.92453,14,1.1211,6,1.7433,5,0.83767,4,1.2857,9,0.9982,5,0.79668,5,0.88883,9,0.99165,9,1.2474,10,1.1576,13,1.1098,21,1.0545,26,1.1615,9,0.90449,7,1.7481,8,0.77157,7,1.7412
75,6,F,2,0.9527,1.1761,29,1.1549,62,1.1875,8,1.2215,21,1.1184,15,1.3314,47,1.1462,16,1.1122,13,1.2033,27,1.213,26,1.2856,9,0.86692,9,1.2417,14,1.274,14,0.97127,14,1.4891,5,1.0069,5,1.2571,4,1.5213,9,1.2804,5,0.95802,5,1.3966,9,0.97703,9,1.5164,9,0.97995,12,1.2318,21,1.1593,26,1.1394,8,1.1694,5,1.7571,8,1.0595,5,1.742
75,6,M,1,0.93919,1.151,30,1.162,61,1.1461,9,0.98546,21,1.2367,13,1.1777,48,1.1342,16,1.0137,14,1.3354,26,1.0696,28,1.2518,7,0.98018,7,1.4165,11,1.1957,15,0.92611,13,1.2848,4,1.4474,3,1.1668,3,1.3429,8,1.2101,7,0.84031,5,1.2923,8,0.99848,8,1.2762,10,1.1071,11,1.3384,19,1.097,29,1.1622,8,1.0428,7,1.6356,8,0.98763,7,1.6455
80,6,M,2,0.9527,0.992,32,0.88626,63,1.0476,9,0.97386,23,0.85069,15,0.99111,48,1.0643,17,0.84197,15,0.92854,27,0.91686,27,1.2443,9,0.82746,10,1.0194,14,0.92745,14,0.74689,14,1.0133,6,1.0124,5,0.9363,4,1.0303,9,0.92314,5,0.76354,5,0.76302,9,0.73537,9,1.1585,10,0.82024,13,0.87003,21,0.96016,27,1.1468,9,0.9348,7,1.0699,8,0.7414,7,1.0699
81,6,M,2,0.96622,1.0141,31,1.0637,63,0.99065,9,1.2646,22,0.97721,15,0.96211,48,0.99776,17,1.0589,14,1.062,27,0.90076,27,1.1357,9,0.80163,10,1.2484,14,1.0446,14,0.84847,13,0.80238,6,1.1972,5,1.0646,4,1.3237,9,1.035,5,0.98245,4,0.68062,9,0.779,9,0.85641,9,0.88461,13,1.0448,21,0.87345,27,1.101,9,1.2217,6,1.5256,8,0.87743,6,1.5237
75,6,M,1,0.84459,1.205,28,1.2335,56,1.191,7,1.4299,21,1.1673,15,1.206,41,1.1841,15,1.266,13,1.1992,27,1.0834,21,1.4205,8,0.95213,10,1.3976,13,1.0477,14,0.93573,11,1.0948,6,1.2413,4,1.2339,4,1.6454,9,0.95548,5,1.1097,4,0.84478,9,0.8376,7,1.2458,9,1.2201,12,1.1398,19,0.96748,22,1.374,7,1.3006,5,1.6503,8,1.2181,5,1.6481
81,6,M,2,0.94595,1.0182,32,0.88804,63,1.0838,9,1.0197,23,0.83706,15,1.2517,48,1.0318,17,0.88131,15,0.89632,27,1.0146,27,1.2509,9,0.78287,10,0.99514,14,1.0368,14,0.8466,14,1.1377,6,0.8889,5,0.95488,4,1.1581,9,1.0723,5,0.76078,5,0.86616,9,0.90141,9,1.2803,10,0.83178,13,0.84413,21,0.98062,27,1.0702,9,0.98593,7,1.0151,8,0.76607,7,1.0089
78,6,F,1,0.91216,1.5606,29,1.4517,55,1.6124,9,1.7488,20,1.3321,13,1.4949,42,1.644,17,1.3004,12,1.6655,25,1.3095,21,2.1085,9,1.2568,7,1.8646,13,1.5039,14,1.2409,12,1.6643,4,1.966,5,1.2456,3,1.7103,8,1.6667,5,1.4774,5,1.4333,9,1.1493,7,1.823,9,1.5582,11,1.1384,19,1.5363,23,1.7265,9,1.4537,4,2.2471,8,1.1469,4,2.2554
81,6,F,2,0.96622,1.3625,31,1.0289,59,1.536,9,0.98458,22,1.0488,13,1.5602,46,1.5271,16,0.98314,15,1.0719,25,1.4711,27,1.6988,7,1.1407,7,1.3832,11,1.3044,14,1.223,14,1.379,4,1.0775,3,0.89359,3,1.7899,8,1.459,7,1.1206,6,0.94282,7,1.3255,8,1.7153,10,1.0029,12,1.0785,18,1.4616,28,1.5679,8,0.93066,7,1.1587,8,1.0428,7,1.1571
81,6,M,1,0.98649,1.4528,32,1.2993,62,1.5355,9,1.3556,23,1.2694,14,1.5562,48,1.5261,17,1.339,15,1.2489,27,1.7086,26,1.4705,9,1.1764,9,1.32,14,1.8586,14,1.3114,14,1.3677,6,1.3189,5,1.3459,3,1.3229,9,2.135,5,1.3239,5,1.1129,9,1.3029,9,1.5151,10,1.2676,13,1.2777,21,1.5097,27,1.5374,9,1.2971,7,1.3781,8,1.3915,7,1.3777
83,6,F,2,0.95946,0.84197,32,0.80666,63,0.86326,9,0.8864,23,0.77483,15,0.91525,48,0.84785,17,0.81885,15,0.79494,27,0.86246,27,0.92973,9,0.67809,10,0.82657,14,0.97362,14,0.72984,14,0.83336,6,0.8714,5,0.83376,4,0.75728,9,1.07,5,0.72983,5,0.71845,9,0.73003,9,0.90213,10,0.71454,13,0.81889,21,0.85544,27,0.84302,9,0.96629,7,0.924,8,0.64342,7,0.92539
81,6,M,1,0.96622,1.2497,32,1.1706,62,1.2897,9,1.1559,23,1.1748,15,1.3656,47,1.2671,17,0.9786,15,1.3853,27,1.2599,26,1.4112,9,1.0324,9,1.6418,14,1.2942,14,0.87955,14,1.2953,6,1.6534,5,1.2637,3,1.6304,9,1.3191,5,0.76182,5,1.09,9,0.94267,9,1.405,10,1.2353,13,1.1282,21,1.1416,26,1.3696,9,0.94921,7,1.4231,8,1.0244,7,1.4167
78,6,F,1,0.9527,0.93342,32,0.9359,63,0.92997,9,0.91506,23,0.94248,15,0.88697,48,0.94493,17,0.95115,15,0.92591,27,0.86315,27,1.0722,9,0.70624,10,0.87749,14,0.92554,14,0.82149,14,1.011,6,0.81374,5,0.83987,4,0.97053,9,0.97672,5,0.88313,5,0.99784,9,0.78503,9,1.0357,10,0.93248,13,0.94925,21,0.90449,27,0.98408,9,1.0916,7,1.1052,8,0.77715,7,1.106
5,4,F,2,0.84459,1.6499,23,1.3022,54,1.7962,8,0.95813,15,1.4626,11,2.0712,43,1.7318,13,1.1763,10,1.4851,22,1.8466,23,1.7907,9,1.6992,7,1.759,10,1.4103,12,1.6396,11,1.6646,3,1.5745,3,0.9424,4,1.9026,7,1.6079,4,1.3782,3,1.0846,8,1.7436,8,1.8625,6,1,9,1.7865,21,1.795,22,1.6673,8,1.0818,2,1.9123,5,1.2906,2,1.9123
52,4,M,1,0.87162,2.2042,22,2.3127,57,2.1604,6,2.0235,16,2.4171,14,2.4986,43,2.0509,10,2.4535,12,2.2045,25,2.0539,23,2.2758,9,2.1484,9,2.4386,13,2.2395,10,2.1826,13,2.2652,5,2.5974,4,1.8653,4,2.2332,9,2.4148,3,2.9538,5,2.0368,7,1.8546,8,2.4142,8,2.0965,8,2.7283,19,2.0263,24,2.0691,3,3.541,4,2.8417,7,1.9875,4,2.8489
58,A,M,2,0.87162,0.99452,22,1.2413,62,0.9056,7,1.0133,15,1.3507,14,0.7764,48,0.94425,14,1.4195,8,0.9674,26,0.93281,27,0.97479,9,0.6137,7,1.0509,13,1.0256,11,0.81099,12,0.92928,3,1.0537,5,1.2551,4,1.0545,8,0.89196,2,0.94461,3,0.79028,9,0.78147,9,0.9799,6,1.2783,9,1.3959,21,0.87346,27,0.99879,6,0.86485,0,NaN,8,1.831,0,NaN
55,4,F,1,0.74324,1.8142,17,1.5164,43,1.947,4,1.1331,13,1.6333,13,1.9859,30,1.9166,12,1.578,5,1.3448,25,1.7415,10,2.7748,8,1.5009,4,1.542,10,1.3582,12,1.7265,5,2.5569,3,1.4096,2,1.2551,1,1.9044,8,1.3902,4,1.6023,1,1.3345,8,1.7576,4,2.8548,5,1.453,8,1.7357,13,1.7012,17,2.0964,6,1.6933,2,1.3945,6,1.4722,2,1.3945
56,4,M,2,0.82432,1.4574,28,1.3418,59,1.5193,8,1.7079,20,1.2017,13,1.7985,46,1.442,15,1.2421,13,1.4609,26,1.2634,26,1.8775,7,1.1181,6,1.406,11,1.1547,15,0.9387,13,1.6092,3,0.88552,3,1.1912,3,1.9461,8,1.1452,7,0.90164,6,1.5649,8,0.96674,7,1.6566,10,1.1554,10,1.2475,18,1.0733,28,1.6774,7,1.3063,6,1.2737,8,1.1943,6,1.2909
58,4,F,1,0.9527,1.3384,32,1.3181,59,1.3561,9,1.4099,23,1.2747,15,1.7756,44,1.2045,17,1.2804,15,1.3564,25,1.3182,25,1.4985,9,1.0099,9,1.6075,14,1.5101,12,1.039,13,1.3443,6,1.4954,5,1.6713,3,1.8327,9,1.4264,5,1.0314,5,1.2122,7,1.043,8,1.4249,10,1.2996,13,1.2581,18,1.1195,26,1.2698,9,1.3153,7,1.5534,8,1.2514,7,1.5512
58,A,M,2,0.62838,1.1324,18,1.6501,55,0.95196,4,2.3111,14,1.4449,13,0.85902,42,0.99227,8,1.8493,10,1.5093,22,1.0248,26,0.73249,7,1.5625,9,0.66608,7,1.4087,10,1.2193,13,0.89874,4,1.0775,3,2.139,5,0.35138,4,0.88907,3,1.2353,3,1.3257,7,1.2492,10,0.75047,6,0.99772,8,1.7962,17,0.98974,25,0.98302,0,NaN,2,0.84952,8,1.8698,2,0.84952
59,4,F,1,0.95946,1.6552,30,1.5189,59,1.7261,8,1.7386,22,1.4392,15,2.2522,44,1.5395,15,1.4834,15,1.5559,27,1.5822,23,1.85,9,1.821,10,1.4687,14,1.6286,14,1.5219,12,1.6676,6,1.446,5,1.6937,4,1.5074,9,1.5858,5,1.4033,5,1.4534,9,1.5912,7,1.824,10,1.4183,12,1.4581,20,1.5099,24,1.5754,7,1.5987,7,1.6649,8,1.3772,7,1.6644
59,4,M,2,0.51351,1.7354,7,1.1939,58,1.8003,2,1.9505,5,0.93044,15,1.6634,43,1.8418,4,2.0552,3,0.086902,23,1.6858,29,1.8256,6,2.1851,9,1.6177,9,1.3971,9,1.6221,9,1.806,2,0.042524,1,0.0020969,7,2.0457,8,1.5966,0,,0,,9,1.6408,9,1.8362,2,0.0021777,3,1.5288,21,1.8425,22,1.854,2,1.888,1,0.082789,2,2.2129,1,0.082789
58,4,F,1,0.83108,1.9785,19,2.547,55,1.7707,6,2.6963,13,2.4839,11,1.8327,44,1.7603,12,2.904,7,1.9494,25,1.7277,23,1.7684,7,1.9816,6,2.0413,12,2.5188,11,1.5931,10,1.8445,2,1.7917,5,2.8021,4,2.1542,7,2.3337,2,2.7693,3,1.8559,9,1.3323,7,1.8385,6,2.3276,7,2.6317,19,1.8424,25,1.7061,4,3.2276,1,2.352,8,2.7603,1,2.352
53,4,M,2,0.81081,1.752,22,2.0428,52,1.6285,5,2.6347,17,1.8722,11,1.5808,41,1.6416,15,2.0045,7,2.1392,23,1.5676,20,1.6155,9,1.8014,5,2.0588,9,1.8454,13,1.4648,10,1.3285,2,2.7068,3,2.0663,3,1.6358,6,1.739,5,1.8269,3,1.0209,8,1.2544,7,1.4589,7,1.7135,10,1.9944,17,1.3741,24,1.8283,8,1.9168,2,2.7275,7,2.107,2,2.7275
51,4,F,1,0.84459,1.5139,26,1.68,58,1.439,6,1.6421,20,1.6871,14,1.6095,44,1.3835,12,2.0777,14,1.3283,23,1.456,27,1.5953,8,0.84006,10,1.3714,10,1.5722,12,1.6893,14,1.3953,6,1.3065,3,1.2546,4,1.4876,7,1.7063,3,2.6723,5,1.3068,9,1.3593,9,1.4398,9,1.4913,11,1.8458,19,1.2534,25,1.485,5,2.467,6,1.417,7,1.8133,6,1.4154
53,4,F,2,0.77703,1.7294,25,1.7582,47,1.7182,7,1.5819,18,1.8266,9,1.7236,38,1.7241,13,1.7325,12,1.8007,22,1.6606,18,1.8492,7,1.5754,8,2.2629,12,2.0725,13,1.3983,9,2.1657,5,2.1135,5,2.2435,3,2.5396,7,1.9624,5,1.3928,4,1.9036,8,1.393,5,2.4205,9,1.5626,9,2.0712,16,1.5412,22,1.8418,7,1.6323,5,1.7451,6,1.8145,5,1.7441
57,4,M,1,0.95946,1.215,32,1.4121,61,1.1084,9,1.5464,23,1.3658,15,1.0615,46,1.129,17,1.2071,15,1.6525,27,1.0045,25,1.3235,9,0.82682,10,1.5048,14,1.1619,14,0.83094,13,1.3407,6,1.6728,5,1.3867,4,1.2589,9,1.035,5,0.82433,5,1.2667,9,0.83859,8,1.3859,10,1.4581,13,1.2985,21,1.0114,25,1.225,9,1.3376,7,1.676,8,1.0664,7,1.6872
54,4,F,2,0.91216,1.5268,31,1.3942,60,1.5991,9,1.2839,22,1.4435,15,1.7556,45,1.5439,17,1.1564,14,1.6832,26,1.4971,26,1.8026,8,1.2394,8,1.4984,14,1.4871,14,1.3655,14,1.7972,5,1.5692,5,1.0498,3,1.3778,9,1.7339,5,1.1179,5,1.7952,9,1.4906,9,1.8034,9,1.395,13,1.4767,20,1.4604,25,1.6079,9,1.28,6,1.9174,8,1.0126,6,1.9071
