Age	Months	ID	Gender	Condition	RT	Accuracy	Pure Case	Pure RT	MixRepCase	MixRepRT	MixSwiCase	MixSwiRT	PRspRCase	PRspRRT	PRspSCase	PRspSRT	MRspRCase	MRspRRT	MRspSCase	MRspSRT	Pure Correct	MixCorrect	MixRepCorrect	MixSwiCorrect	PureOmi	MixOmi	PRepOmi	MRepOmi	MSwiOmi	TotalOmi	PureCom	MixCom	PRepCom	MRepCom	MSwiCom	TotalCom	TotalOmi	AllError
4-year-old	56	YE026	m	2	1.3727	0.8125	29	1.2235	32	1.5163	8	1.3346	13	0.98896	16	1.4178	12	1.1131	20	1.7529	0.75926	0.86111	0.87037	0.83333	3	2	2	0	2	5	14	8	11	7	1	22	5	27
4-year-old	57	YE027	f	1	1.6281	0.91667	28	1.5617	26	1.5182	9	2.2203	11	1.4279	17	1.6477	9	1.5152	17	1.5207	0.94444	0.875	0.88889	0.83333	3	7	3	5	2	10	0	2	0	1	1	2	10	12
4-year-old	56	YE028	f	2	1.5208	0.95139	28	1.4549	29	1.4888	11	1.6999	11	1.4144	17	1.4807	11	1.3487	18	1.5729	0.94444	0.95833	0.94444	1	4	2	3	2	0	6	0	1	0	1	0	1	6	7
4-year-old	52	YE029	m	1	0.97124	0.64583	30	0.7649	32	0.98821	11	1.3382	13	0.58284	17	0.90456	13	0.88905	19	1.0501	0.68519	0.61111	0.59259	0.66667	1	1	1	1	0	2	22	27	16	21	6	49	2	51
4-year-old	49	YE030	f	2	1.6748	0.97917	32	1.5356	30	1.8311	10	1.7551	14	1.4776	18	1.5815	12	1.707	18	1.9117	1	0.95833	0.94444	1	0	1	0	1	0	1	0	2	0	2	0	2	1	3
4-year-old	55	YE031	m	1	1.5674	0.72222	30	1.473	29	1.4731	5	2.1698	12	1.6032	18	1.3815	12	1.419	17	1.5138	0.83333	0.625	0.66667	0.5	3	10	1	3	7	13	10	17	8	15	2	27	13	40
4-year-old	50	YE032	m	2	2.0954	0.77083	24	2.0817	20	1.9288	5	2.2706	8	1.999	16	2.123	9	1.6823	11	2.1319	0.87037	0.66667	0.68519	0.61111	6	18	5	12	6	24	3	6	2	5	1	9	24	33
4-year-old	58	YE033	f	1	1.9864	0.97917	31	1.7465	31	2.1004	9	2.2787	14	1.7308	17	1.7567	12	1.8193	19	2.2747	0.98148	0.97222	0.98148	0.94444	0	2	0	1	1	2	1	0	1	0	0	1	2	3
4-year-old	58	YE034	f	2	1.6788	1	32	1.4594	32	1.8904	10	1.7336	14	1.4524	18	1.4672	12	1.9884	20	1.8347	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-year-old	53	YE035	f	1	1.9046	0.97222	31	1.7571	30	1.9708	9	2.102	14	1.6862	17	1.8194	12	1.79	18	2.093	0.98148	0.95833	0.96296	0.94444	1	0	1	0	0	1	0	3	0	2	1	3	1	4
