ID,Month,age,gender,targetset,accuracy,Paccu,P1accu,P2accu,P3accu,P4accu,P234accu,Maccu,M1accu,M2accu,M3accu,M4accu,M234accu,PVaccu,PAaccu,MVaccu,MAaccu,PVsingAccu,PAsingAccu,MVsingAccu,MAsingAccu,PV2Vaccu,MV2Vaccu,PA2Vaccu,MA2Vaccu,PA2Aaccu,MA2Aaccu,PV2Aaccu,MV2Aaccu,rtmean,Pno,Prt,Mno,Mrt,P1no,P1rt,P2no,P2rt,P3no,P3rt,P4no,P4rt,P234no,P234rt,M1no,M1rt,M2no,M2rt,M3no,M3rt,M4no,M4rt,M234no,M234rt,PVno,PVrt,PAno,PArt,MVno,MVrt,MAno,MArt,MAVno,MAVrt,Vsingno,Vsingrt,Asingno,Asingrt,V2Ano,V2Art,A2Vno,A2Vrt,V2Vno,V2Vrt,A2Ano,A2Art,PVsingno,PVsingrt,PAsingno,PAsingrt,MVsingno,MVsingrt,MAsingno,MAsingrt,P1Vsingno,P1Vsingrt,P1Asingno,P1Asingrt,M1Vsingno,M1Vsingrt,M1Asingno,M1Asingrt,PV2Ano,PV2Art,PA2Vno,PA2Vrt,MV2Ano,MV2Art,MA2Vno,MA2Vrt,PV2Vno,PV2Vrt,PA2Ano,PA2Art,MV2Vno,MV2Vrt,MA2Ano,MA2Art,P1V2Ano,P1V2Art,P1A2Vno,P1A2Vrt,M1V2Ano,M1V2Art,M1A2Vno,M1A2Vrt,P1V2Vno,P1V2Vrt,P1A2Ano,P1A2Art,M1V2Vno,M1V2Vrt,M1A2Ano,M1A2Art,P1Vno,P1Vrt,P1Ano,P1Art,M1Vno,M1Vrt,M1Ano,M1Art,PRrno,PRrrt,PRsno,PRsrt,MRrno,MRrrt,MRsno,MRsrt,crossno,crossrt,nocrossno,nocrossrt,T1Vno,T1Vrt,T1Ano,T1Art,T2Vno,T2Vrt,T2Ano,T2Art,PModShift,MModShift,PModRep,MModRep,Cum70,Cum75,filter_$,MAVaccu
M05,75,2,M,1,.93919,.9375,1,.91667,1,.83333,.91667,.94,.84,1,1,.92,.97333,1,.93333,1,1,1,1,1,1,1,1,1,1,.83333,1,1,1,1149.9653,30,1161.416,61,1144.3338,9,989.4533,4,1450.4325,9,1128.1044,16,1222.8412,21,1235.1143,13,1176.9231,15,1106.5393,17,1176.9976,16,1118.5819,48,1135.5075,16,1013.355,14,1330.6286,26,1069.9938,28,1254.9886,7,977.8343,12,1124.905,12,1124.905,7,1415.5471,11,1197.3227,15,926.252,13,1282.2546,4,1283.515,3,1299.3,7,1074.0486,15,1200.5733,1,846.46,2,1206.6,0, ,2,1435.32,3,1671.0067,1,1716.4,2,1442.75,7,1176.3157,6,818.7083,4,1315.9425,7,1038.8343,6,1176.7733,1,870.21,2,883.27,1,1140.1,1,1453.4,1,980.35,1,1170.7,1,729.34,2,1587.1,5,890.194,4,1113.5275,4,1017.54,5,1436.988,10,1110.371,11,1348.5173,19,1096.8189,29,1160.8552,18,1239.5961,36,1129.0775,8,1030.0585,7,1634.5537,8,984.8719,7,1659.5842,1693.70335,1309.53285,1067.3254,1107.8038,.950399492489711,.890383733359333,0,1
M06,80,2,M,2,.9527,1,1,1,1,1,1,.93,.76,.96,1,1,.98667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,991.9599,32,884.4494,63,1046.5684,9,972.73,9,847.6333,7,793.5671,15,825.548,23,849.9048,15,990.84,16,1235.6119,15,1015.3853,17,945.3318,48,1063.9835,17,845.3071,15,928.8107,27,918.3796,27,1247.9752,9,826.9144,16,980.4731,16,980.4731,10,1019.685,14,929.6036,14,747.4607,14,1014.53,5,865.24,1,1032.5,8,1086.6487,10,1426.908,2,768.14,2,865.65,1,1131.9,2,1016.12,6,1012.5183,2,742.895,3,1058.2667,6,894.26,4,708.59,5,758.77,7,670.6971,7,1159.3643,0, ,3,1068.8667,1,946.94,3,985.5,1,980.99,0, ,2,977.11,2,1147.01,6,953.9783,3,1010.2333,6,1007.1033,5,1054.64,10,820.153,13,872.7908,21,959.1595,27,1145.5133,13,1133.4923,41,1067.2239,9,930.829,7,1072.1022,8,737.8475,7,1072.2242,877.70665,976.26335,733.68,915.0307,.950399492489711,.890383733359333,1,1
M07,81,2,M,2,.96622,.97917,1,1,1,.95833,.97222,.96,.92,1,.96,.96,.97333,1,.93333,1,1,1,1,1,1,1,1,1,1,.8,1,1,1,1014.606,31,1063.2284,63,990.6806,9,1267.2,9,1031.8678,7,942.5929,14,1038.5386,22,979.7855,15,963.134,16,1034.095,15,917.9827,17,1038.2712,48,999.289,17,1058.7406,14,1068.6779,27,902.4411,27,1140.6378,9,805.5278,16,990.8406,16,990.8406,10,1249.289,14,1042.5957,14,851.0507,13,799.8185,5,1153.124,1,945.55,8,888.5288,10,1501.292,2,1011.255,2,941.195,1,957.09,2,958.205,6,1205.4667,2,650.145,3,1287.3633,6,1042.6583,4,900.7925,4,676.9625,7,759.7214,7,824.91,0, ,3,1332.5667,1,1398,3,1014.1333,1,1309.3,0, ,2,842.095,2,957.71,6,1221.585,3,1358.43,6,947.28,5,1045.966,9,886.3778,13,1044.4523,21,868.9338,27,1100.6763,13,1052.6931,41,1011.6615,9,1221.9697,6,1519.0194,8,877.5973,6,1528.8843,927.80585,1165.0108,788.8775,792.3157,.950399492489711,.890383733359333,1,1
M08,75,2,M,1,.84459,.89583,.83333,1,1,.75,.91667,.82,.88,.76,.88,.76,.8,.88235,.86667,1,.77778,.85714,1,1,.66667,1,1,.8,1,.8,.77778,1,1,1204.8156,28,1233.8925,56,1190.2771,7,1436.75,9,1041.9278,7,1247.2571,11,1256.3164,21,1166.2733,15,1204.7673,13,1263.5723,15,1157.8967,13,1137.6246,41,1184.9759,15,1264.102,13,1199.0354,27,1084.1115,21,1417.2481,8,952.7875,15,1438.83,15,1438.83,10,1403.066,13,1042.9938,14,935.0836,11,1099.8073,4,1109.7475,1,2195.3,8,1429.3575,6,1765.6167,2,2031.55,2,1273.6,1,1645.5,2,1221.315,6,1244.21,2,1555.65,3,1395.4667,6,912.3817,4,975.2975,4,844.925,7,817.6386,5,1297.172,0, ,2,909.375,1,2379,3,1051.5267,1,1628.2,0, ,2,919.155,2,1116.16,5,1502.01,2,1273.6,6,1106.3983,5,1410.79,9,1207.5156,12,1135.3417,19,968.8216,22,1371.6545,12,1169.9217,36,1249.8378,7,1329.2382,5,1651.0296,8,1213.5087,5,1638.1582,1399.93,1153.9242,910.11125,1057.4053,.950399492489711,.890383733359333,1,.88889
M09,81,2,M,2,.93243,.97917,1,.91667,1,1,.97222,.91,.8,.84,1,1,.94667,1,1,.96296,1,1,1,1,1,1,.88889,1,1,1,1,1,1,1037.8182,32,889.5459,61,1115.6003,9,1021.7989,9,807.8756,7,857.8686,15,852.516,23,837.7948,15,1252.7387,14,1194.7929,15,1038.8373,17,997.1106,46,1070.8813,17,883.7171,15,896.152,26,1048.2888,27,1252.9619,8,870.7675,16,999.73,16,999.73,10,994.176,14,1035.9807,13,906.0992,14,1133.8307,5,904.868,1,714.67,8,1094.32,10,1323.303,2,966.505,2,906.92,1,783.77,2,1010.1,6,887.705,2,791.03,3,893.9767,6,843.9917,4,694.685,5,868.648,6,803.7083,7,1337.1729,0, ,3,1065.3133,1,1933.6,3,1553.9267,1,1009.1,0, ,2,1584.6,2,1085.09,6,1023.0083,3,1019.38,6,1435.7917,5,1224.796,10,828.584,13,844.88,21,982.8948,25,1144.79,13,1171.0815,40,1146.5355,9,990.3145,7,1013.2712,8,765.6105,7,1014.3998,839.3675,868.9842,781.6665,1070.4406,.950399492489711,.890383733359333,1,.88889
M10,78,2,F,1,.90541,.9375,1,.91667,1,.875,.91667,.89,.84,.88,.88,.96,.90667,1,.8,.92593,.74074,1,.66667,.88889,.75,1,1,1,.88889,1,.77778,.66667,.75,1532.7539,29,1455.0028,54,1574.5091,9,1741.5311,8,1187.1975,7,1279.97,12,1638.79,20,1326.065,13,1501.0831,13,1806.5177,12,1544.395,16,1468.2463,41,1597.7905,17,1307.1412,12,1664.4733,25,1314.2444,20,2040.6045,9,1261.6989,15,1191.5813,15,1191.5813,7,1855.4143,13,1507.36,14,1257.7221,12,1657.5,5,1076.458,0, ,7,1176.58,8,2478.4625,2,1645.05,2,1054.99,1,965.27,1,2215.8,4,1964.8,2,1096,3,1709.5667,5,1395.776,4,993.4025,5,1422.84,7,1146.8429,5,1853.92,0, ,3,1340.7333,0, ,3,2134.2,1,3361.2,0, ,2,1122.7,2,1753.1,6,1778.9167,3,1666.76,6,1602.2117,3,1907.3333,9,1557.67,11,1136.57,18,1429.1278,23,1729.7874,12,1523.1683,33,1678.4903,9,1437.0197,4,2233.5121,8,1151.0261,4,2246.2253,1530.4,1552.67135,1208.12125,1500.38145,.950399492489711,.890383733359333,1,1
M11,81,2,F,2,.95946,.97917,1,1,1,.91667,.97222,.95,.92,1,.92,.96,.96,1,1,.96154,.92857,1,1,1,.88235,1,.875,1,1,1,1,1,1,1335.0437,31,1028.4674,58,1498.9034,9,983.4122,5,1171.308,9,991.7689,15,1098.334,22,1046.8991,13,1561.2169,15,1505.5987,15,1727.38,15,1209.7267,45,1480.9018,16,985.6494,15,1074.14,25,1473.4164,26,1621.6888,7,1133.8686,12,1372.3217,12,1372.3217,7,1382.0357,11,1306.9018,14,1220.3143,14,1378.565,4,920.785,3,1156.1833,7,1710.15,13,1572.9762,1,813.67,2,1327.9,0, ,2,1364.405,3,1148.3167,1,664.06,2,1790.6,7,1416.4443,6,1167.805,5,952.85,6,1293.2833,6,1615.8833,1,869.8,2,1016.925,1,1778.3,1,1762.9,1,813.07,1,908.75,1,1504.8,2,1965.805,5,883.272,4,1108.5875,4,1634.55,5,1687.744,10,1002.355,12,1084.0192,18,1463.0756,27,1492.7859,15,1524.142,36,1559.3664,8,932.4364,7,1154.1425,8,1033.7306,7,1158.8038,906.18835,1603.52215,1060.3275,1454.5833,.950399492489711,.890383733359333,0,1
M12,81,2,M,1,.98649,1,1,1,1,1,1,.98,.92,1,1,1,1,1,1,1,.96296,1,1,1,1,1,1,1,1,1,1,1,.75,1453.6153,32,1296.2962,62,1534.8123,9,1357.8189,9,1339.5111,7,1280.1486,15,1316.934,23,1272.2222,14,1561.3143,16,1476.2669,15,1589.1833,17,1520.1141,48,1527.0825,17,1339.8318,15,1246.956,27,1711.3256,26,1474.7765,9,1178.7089,16,1543.3275,16,1543.3275,9,1316.3889,14,1853.1286,14,1310.4207,14,1368.4464,5,1260.208,1,1036.4,8,1768.9125,10,1517.23,2,1574.05,2,1372.3,1,1092.8,2,1984.75,6,1316.9817,2,1509.865,3,1315.2033,6,2117.0167,4,1361.475,5,1111.23,7,1302.87,7,1543.3571,0, ,3,1228.9567,0, ,3,2178.3667,1,1175.5,0, ,2,1302.2,2,1399.3,6,1335.0783,3,1403.3,6,1705.3833,4,1692.025,10,1266.667,13,1276.4954,21,1509.6138,27,1540.6693,13,1663.6954,40,1573.0485,9,1293.1807,7,1371.744,8,1386.3127,7,1380.4173,1413.42335,1716.11,1236.3525,1423.11355,.950399492489711,.890383733359333,1,1
M13,83,2,F,2,.95946,1,1,1,1,1,1,.94,.84,.96,.96,1,.97333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,843.5478,32,805.375,63,862.9371,9,884.8978,9,782.4056,7,665.5271,15,879.57,23,774.2574,15,912.786,16,764.355,15,871.074,17,904.5565,48,847.3594,17,816.6088,15,792.6433,27,857.7352,27,928.8437,9,680.8233,16,818.195,16,818.195,10,824.623,14,981.2057,14,729.5143,14,838.9686,5,879.07,1,851.92,8,798.0375,10,1064.48,2,843.76,2,664.83,1,623.95,2,877.28,6,867.415,2,529.09,3,727.4567,6,865.7683,4,675.2775,5,719.374,7,686.7286,7,961.1771,0, ,3,1029.8567,1,859.37,3,1464.84,1,950.62,0, ,2,877.185,2,710.225,6,954.6183,3,745.4567,6,1128.8067,5,806.876,10,716.95,13,818.34,21,855.2929,27,841.1889,13,856.2715,41,905.0268,9,966.0079,7,926.6795,8,644.5218,7,921.3991,698.2525,796.6125,697.32575,823.95285,.950399492489711,.890383733359333,1,1
M14,81,2,M,1,.96622,1,1,1,1,.95833,1,.95,.92,.92,1,.96,.96,1,1,1,.96296,1,1,1,1,1,1,1,1,1,1,1,.75,1249.0573,32,1167.7991,62,1290.9971,9,1152.7422,9,1185.7511,7,1049.68,15,1248.9727,23,1173.6909,15,1358.5533,15,1345.2453,15,1240.0127,17,1228.5088,47,1269.4366,17,980.4541,15,1380.1233,27,1260.8393,26,1412.8704,9,1029.3922,16,1265.25,16,1265.25,9,1642.1889,14,1297.8679,14,878.3021,14,1294.87,5,997.076,1,1245.9,8,1567.95,10,1426.15,2,787.96,2,1481.85,1,1139.1,2,1347.4,6,1654.8167,2,1241.41,2,1213.55,6,991.505,4,720.36,5,1094.09,7,896.6129,7,1510.5143,0, ,3,1274.2667,1,2423.7,3,1971.8333,1,919.36,0, ,2,1109.57,2,1042.065,6,1053.0133,3,1352.2,6,1545.6233,5,1440.526,10,1234.045,13,1127.2646,21,1143.0162,26,1371.5454,13,1369.4808,40,1324.351,9,943.152,7,1411.9598,8,1021.2186,7,1429.6611,1448.11335,1102.5275,907.225,1203.5636,.950399492489711,.890383733359333,1,1
