ID,Month,age,gender,targetset,accuracy,Paccu,P1accu,P2accu,P3accu,P4accu,P234accu,Maccu,M1accu,M2accu,M3accu,M4accu,M234accu,PVsingAccu,PAsingAccu,MVsingAccu,MAsingAccu,PV2Vaccu,MV2Vaccu,PA2Vaccu,MA2Vaccu,PA2Aaccu,MA2Aaccu,PV2Aaccu,MV2Aaccu,rtmean,Pno,Prt,Mno,Mrt,P1no,P1rt,P2no,P2rt,P3no,P3rt,P4no,P4rt,P234no,P234rt,M1no,M1rt,M2no,M2rt,M3no,M3rt,M4no,M4rt,M234no,M234rt,PVno,PVrt,PAno,PArt,MVno,MVrt,MAno,MArt,MAVno,MAVrt,Vsingno,Vsingrt,Asingno,Asingrt,V2Ano,V2Art,A2Vno,A2Vrt,V2Vno,V2Vrt,A2Ano,A2Art,PVsingno,PVsingrt,PAsingno,PAsingrt,MVsingno,MVsingrt,MAsingno,MAsingrt,P1Vsingno,P1Vsingrt,P1Asingno,P1Asingrt,M1Vsingno,M1Vsingrt,M1Asingno,M1Asingrt,PV2Ano,PV2Art,PA2Vno,PA2Vrt,MV2Ano,MV2Art,MA2Vno,MA2Vrt,PV2Vno,PV2Vrt,PA2Ano,PA2Art,MV2Vno,MV2Vrt,MA2Ano,MA2Art,P1V2Ano,P1V2Art,P1A2Vno,P1A2Vrt,M1V2Ano,M1V2Art,M1A2Vno,M1A2Vrt,P1V2Vno,P1V2Vrt,P1A2Ano,P1A2Art,M1V2Vno,M1V2Vrt,M1A2Ano,M1A2Art,P1Vno,P1Vrt,P1Ano,P1Art,M1Vno,M1Vrt,M1Ano,M1Art,PRrno,PRrrt,PRsno,PRsrt,MRrno,MRrrt,MRsno,MRsrt,crossno,crossrt,nocrossno,nocrossrt,T1Vno,T1Vrt,T1Ano,T1Art,T2Vno,T2Vrt,T2Ano,T2Art,filter_$,BAccuracy,BRT,BVisRt,BAudRt,BT1Vrt,BT2Vrt,BT1Art,BT2Art,PV234,PA234,VisDis,AudDis
M13,83,2,F,2,.95946,1,1,1,1,1,1,.94,.84,.96,.96,1,.97333,1,1,1,1,1,1,1,1,1,1,1,1,843.5478,32,805.375,63,862.9371,9,884.8978,9,782.4056,7,665.5271,15,879.57,23,774.2574,15,912.786,16,764.355,15,871.074,17,904.5565,48,847.3594,17,816.6088,15,792.6433,27,857.7352,27,928.8437,9,680.8233,16,818.195,16,818.195,10,824.623,14,981.2057,14,729.5143,14,838.9686,5,879.07,1,851.92,8,798.0375,10,1064.48,2,843.76,2,664.83,1,623.95,2,877.28,6,867.415,2,529.09,3,727.4567,6,865.7683,4,675.2775,5,719.374,7,686.7286,7,961.1771,0, ,3,1029.8567,1,859.37,3,1464.84,1,950.62,0, ,2,877.185,2,710.225,6,954.6183,3,745.4567,6,1128.806,5,806.876,10,716.95,13,818.34,21,855.2929,27,841.1889,13,856.2715,41,905.0268,9,959.8466,7,926.2478,8,644.8498,7,924.7318,1,1,735.37,646.507,816.1545,564.412,728.602,831.9183,797.238,694.479166666667,812.903,-3.25150000000008,47.9721666666667
M14,81,2,M,1,.96622,1,1,1,1,.95833,1,.95,.92,.92,1,.96,.96,1,1,1,1,1,1,1,1,1,1,1,.75,1249.0573,32,1167.7991,62,1290.9971,9,1152.7422,9,1185.7511,7,1049.68,15,1248.9727,23,1173.6909,15,1358.5533,15,1345.2453,15,1240.0127,17,1228.5088,47,1269.4366,17,980.4541,15,1380.1233,27,1260.8393,26,1412.8704,9,1029.3922,16,1265.25,16,1265.25,9,1642.1889,14,1297.8679,14,878.3021,14,1294.87,5,997.076,1,1245.9,8,1567.95,10,1426.15,2,787.96,2,1481.85,1,1139.1,2,1347.4,6,1654.8167,2,1241.41,2,1213.55,6,991.505,4,720.36,5,1094.09,7,896.6129,7,1510.5143,0, ,3,1274.2667,1,2423.7,3,1971.8333,1,919.36,0, ,2,1109.57,2,1042.065,6,1053.0133,3,1352.2,6,1545.623,5,1440.526,10,1234.045,13,1127.2646,21,1143.0162,26,1371.5454,13,1369.4808,40,1324.351,9,942.0441,7,1422.3318,8,1022.7587,7,1414.5118,1,.97727,946.7667,673.315,1195.3591,601.766,744.864,1267.595,1108.676,986.282,1331.60223333333,136.243133333333,312.967
M15,78,2,F,1,.9527,.97917,1,.91667,1,1,.97222,.94,.8,.96,1,1,.98667,1,1,1,1,1,1,1,1,1,1,1,1,932.6529,32,935.2512,63,931.3332,9,914.6156,9,842.0267,7,951.5957,15,957.7367,23,943.3261,15,886.6347,16,1006.8431,15,1019.594,17,821.8276,48,945.3015,17,944.4224,15,924.8573,27,862.3752,27,1074.617,9,708.3556,16,930.9888,16,930.9888,10,876.757,14,926.7871,14,819.1764,14,1014.7686,5,1034.112,1,1233,8,849.0812,10,1261.7,2,1136.305,2,855.25,1,660,2,993.52,6,814.9083,2,883.03,3,995.31,6,959.3133,4,922.43,5,989.542,7,711.7614,7,1112.0514,0, ,3,806.1833,1,892.19,3,1011.51,1,737.68,0, ,2,1029.37,2,737.345,6,904.8067,3,934.2333,6,958.8783,5,870.784,10,936.403,13,948.6515,21,900.5233,27,980.1289,13,970.8038,41,967.7644,9,1096.1067,7,1104.8025,8,776.9426,7,1115.6986,1,.97727,786.3543,760.863,809.5282,768.204,753.522,737.0217,896.536,946.524,1012.48343333333,202.955233333333,185.661
A01,417,3,F,1,.99324,1,1,1,1,1,1,.99,.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,796.2234,32,706.7462,63,841.6721,9,786.3178,9,708.52,7,638.2514,15,778.2693,23,675.6096,15,806.24,16,931.6969,15,850.2807,17,780.6106,48,852.7446,17,709,15,704.192,27,817.3763,27,875.8011,9,812.1722,16,712.3837,16,712.3837,10,785.844,14,856.4707,14,766.6736,14,819.1729,5,655.196,1,618,8,778.9412,10,1004.536,2,679.435,2,630.75,1,531.76,2,508.7,6,763.35,2,656.055,3,677.2133,6,824.3717,4,640.025,5,638.546,7,800.7114,7,974.1929,0, ,3,905.9533,1,1246.7,3,1004.7967,1,828.08,0, ,2,870.135,2,728.17,6,817.4683,3,724.0167,6,881.07,5,744.088,10,651.689,13,694.01,21,785.6324,27,904.943,13,835.2385,41,850.1876,9,746.8637,7,739.542,8,668.3778,7,739.1645,1,1,638.7643,583.181,689.2945,589.306,577.056,745.68,621.632,650.425333333333,673.298666666667,-15.9958333333333,67.2443333333332
A02,358,3,F,2,.98649,1,1,1,1,1,1,.98,.96,.96,1,1,.98667,1,1,1,1,1,1,1,1,1,1,1,1,800.4378,32,733.0969,63,834.6427,9,741.8,9,761.0244,7,668.8429,15,774.2413,23,729.6913,15,1014.4687,16,795.035,15,736.7607,17,799.6171,48,778.4471,17,668.6888,15,806.0927,27,811.5419,27,911.0781,9,674.6389,16,837.9731,16,837.9731,10,965.358,14,814.8643,14,604.5479,14,835.0714,5,706.254,1,705.18,8,907.1975,10,946.007,2,739.31,2,798.16,1,1140.1,2,885.245,6,974.9617,2,595.585,3,802.2033,6,675.0633,4,558.515,5,654.29,7,618.9329,7,859.2729,0, ,3,783.3,1,1397.2,3,1272.2167,1,582.69,0, ,2,657.195,2,1202.32,6,735.2017,3,754.9967,6,1045.19,5,1114.466,10,703.815,13,749.5962,21,717.0924,27,826.1674,13,1000.2915,41,817.2427,9,644.0719,7,950.7765,8,697.2893,7,949.6785,1,1,530.6014,492.194,565.5173,508.648,475.74,485.2683,661.816,620.118,778.1439,212.6266,127.924
A03,231,3,F,1,.97297,1,1,1,1,1,1,.96,.92,.92,1,1,.97333,1,1,1,.91667,1,1,1,.88889,1,1,1,.75,1200.7026,32,1387.1697,60,1101.2535,9,1195.2411,9,1540.3178,7,1241.4486,15,1356.1,23,1462.2722,14,1077.9921,14,1143.2764,15,1099.404,17,1087.4347,46,1108.333,17,1233.02,15,1561.8727,26,1070.0862,25,1206.0856,9,900.0922,16,1055.0719,16,1055.0719,9,1557.3789,13,1157.5223,14,1203.9029,14,1320.9457,5,1084.208,1,1531.5,8,1038.3238,9,1486.3467,2,1093.04,2,1246.7,1,967.44,2,597.255,6,1943.6333,2,1099.25,3,784.87,5,1166.41,4,1485.655,5,1375.36,7,1012.0871,7,1151.2914,0, ,3,1215.2,0, ,3,1123.88,1,1567.5,0, ,2,1129.955,2,1778.7,6,1233.1967,3,1119.33,6,1099.831,4,1187.9775,10,1529.636,13,1410.4538,21,1029.891,25,1174.2244,13,1181.8262,38,1121.3326,9,1481.0956,7,1572.1297,8,961.6064,7,1592.6472,1,1,1022.5714,968.787,1071.4664,1087.412,850.162,1167.5783,956.132,1223.03766666667,1616.8311,545.3647,254.250666666667
A04,640,3,F,1,.98649,.95833,1,1,1,.91667,.94444,1,1,1,1,1,1,.85714,1,1,1,1,1,1,1,1,1,1,1,988.7006,31,932.3552,63,1016.4262,9,955.1078,9,919.6933,7,850.9443,14,949.1479,22,923.0473,15,1097.8153,16,973.47,15,1063.614,17,943.4053,48,990.9921,16,874.3681,15,994.208,27,894.7174,27,1130.1044,9,1040.5178,15,852.6453,15,852.6453,10,1138.322,14,986.34,14,824.9157,14,1042.7707,4,799.7125,1,891.74,8,884.5362,10,1245.209,2,848.515,2,855.435,1,817.51,2,1091.585,6,1154.15,2,754.905,3,1135.3067,6,886.645,4,778.62,5,933.452,7,762.4086,7,1051.5443,0, ,3,1114.04,1,1052.4,3,1212.32,1,1127.6,0, ,2,984.94,2,1285.36,6,1027.7917,3,809.74,6,1070.725,5,1161.258,10,945.204,12,904.5833,21,932.1167,27,1036.7841,13,1130.3662,41,975.0105,8,988.1863,7,1034.5866,8,769.6027,7,1034.7397,1,1,648.579,629.466,665.9545,641.542,617.39,627.93,711.584,777.745833333333,993.114,327.1595,148.279833333333
A06,295,3,F,1,.99324,1,1,1,1,1,1,.99,.96,1,1,1,1,1,1,1,1,1,1,1,.88889,1,1,1,1,842.243,32,749.2672,62,890.2305,9,721.1367,9,722.9289,7,725.3314,15,827.1353,23,760.2748,14,840.4271,16,944.0756,15,954.4447,17,823.9076,48,904.7565,17,667.1794,15,842.3,26,874.2492,27,925.3837,9,830.9389,16,725.0438,16,725.0438,10,891.207,13,831.4446,14,833.075,14,908.3286,5,609.16,1,1159.2,8,824.7987,10,922.328,2,588.3,2,700.685,1,779.91,2,989.715,6,828.55,2,814.485,3,938.9233,6,915.445,4,635.7475,5,827.612,7,922.7971,7,1003.0571,0, ,3,735.0267,1,1124,2,741.03,1,742.61,0, ,2,958.935,2,778.57,6,687.3817,3,788.6467,5,835.968,5,932.114,10,792.719,13,735.3177,21,862.4914,27,937.6293,13,734.8362,40,954.0743,9,655.9909,7,912.7359,8,678.5763,7,909.6258,1,1,597.3571,553.278,637.4291,575.066,531.49,606.4933,674.552,686.464166666667,938.454,301.0249,133.186166666667
A07,241,3,F,2,.97297,.97917,1,1,.91667,1,.97222,.97,1,.92,.96,1,.96,1,1,1,1,1,1,1,1,1,1,1,1,562.9751,32,676.7856,63,505.1665,9,672.8478,9,754.1533,7,563.0943,15,571.3027,23,678.3265,15,467.1573,16,521.8537,15,539.318,17,492.8647,48,517.0444,17,533.3324,15,839.366,27,503.5119,27,538.9722,9,408.7133,16,528.1275,16,528.1275,10,622.574,14,544.8957,14,470.2064,14,672.1021,5,485.864,1,1320.9,8,548.1925,10,592.465,2,587.365,2,470.1,1,460.45,2,466.4,6,685.415,2,586.905,3,497.92,6,510.4833,4,491.5475,5,919.76,7,447.6971,7,547.7114,0, ,3,601.8667,1,619.49,3,528.7433,1,517,0, ,2,482.91,2,488.325,6,582.8883,3,852.7667,6,502.0833,5,505.788,10,599.314,13,739.1054,21,486.8552,27,540.5248,13,507.5408,41,525.5863,9,519.16,7,1165.4715,8,549.2292,7,1175.9028,1,1,372.4133,393.682,353.0782,409.488,377.876,357.5067,347.764,521.438833333333,975.358333333333,622.280133333333,127.756833333333
A08,300,3,F,1,.96622,.97917,.91667,1,1,1,1,.96,.92,.92,1,1,.97333,1,1,1,.91667,.8,1,1,1,1,1,1,1,1158.7745,31,1262.4213,62,1106.9511,8,1398.3675,9,1220.13,7,952.63,15,1298.0573,23,1215.1357,15,1250.7173,15,902.0233,15,1165.488,17,1109.2671,47,1061.0683,16,1336.1713,15,1183.7547,27,1189.4422,26,1089.5658,9,909.7022,16,1266.7906,16,1266.7906,10,1338.289,14,1442.4421,13,1002.3723,14,1023.5264,5,1445.754,1,1903.8,8,1160.11,9,1048.31,2,1076.9,2,1134.265,1,1605.2,2,1255.65,6,1353.6617,2,1012.185,3,1276.2067,6,1401.4017,4,1055.1725,5,889.704,7,887.1071,7,1110.9886,0, ,3,1917.0367,1,1432.3,3,1336.7667,0, ,0, ,2,1300.2,2,1051.965,5,1580.982,3,1094.01,6,1369.316,5,1209.506,10,1199.728,13,1226.9877,21,1142.95,26,994.9331,12,1055.2317,41,1165.3871,8,1364.8119,7,1516.8476,8,1299.0292,7,1504.1113,1,1,939.3214,900.981,974.1764,939.764,862.198,881.9733,1084.82,1171.03716666667,1382.38856666667,408.212166666667,270.056166666667
