Month,age,gender,targetset,accuracy,rt_mean,P_no,P_rt,M_no,M_rt,P1_no,P1_rt,P234_no,P234_rt,M1_no,M1_rt,M234_no,M234_rt,PV_no,PV_rt,PA_no,PA_rt,MV_no,MV_rt,MA_no,MA_rt,MAV_no,MAV_rt,V2A_no,V2A_rt,A2V_no,A2V_rt,V2V_no,V2V_rt,A2A_no,A2A_rt,PV2A_no,PV2A_rt,PA2V_no,PA2V_rt,MV2A_no,MV2A_rt,MA2V_no,MA2V_rt,PV2V_no,PV2V_rt,PA2A_no,PA2A_rt,MV2V_no,MV2V_rt,MA2A_no,MA2A_rt,P_Rr_no,P_Rr_rt,P_Rs_no,P_Rs_rt,M_Rr_no,M_Rr_rt,M_Rs_no,M_Rs_rt,T1V_no,T1V_rt,T1A_no,T1A_rt,T2V_no,T2V_rt,T2A_no,T2A_rt
328,A,M,1,0.9527,0.82018,24,0.85362,47,0.80485,6,0.91462,18,0.8327,11,0.87404,36,0.78334,12,1.0365,12,0.67046,16,1.2101,17,0.64233,14,0.53982,4,0.54385,7,0.93254,5,1.0302,5,0.63972,2,0.68453,4,0.93966,2,0.40536,3,0.92251,3,1.0466,3,0.55118,2,1.004,2,0.7722,7,0.84382,11,0.82822,10,0.74663,26,0.7978,6,1.1002,6,0.68417,6,0.97526,6,0.68532
358,A,F,2,0.99324,0.81291,26,0.84378,44,0.79351,6,1.0423,20,0.78445,11,0.95898,33,0.73887,13,0.81261,13,0.87602,16,0.88343,14,0.79809,14,0.6879,5,0.82769,4,1.0057,5,1.0366,11,0.81056,4,0.86374,3,0.78609,1,0.67908,1,1.6527,1,0.67738,7,0.87107,4,1.1318,4,0.70769,8,0.81098,12,0.76806,7,0.71135,26,0.74604,8,0.80512,5,0.85995,5,0.82171,5,0.85975
277,a,m,1,0.98649,0.56952,26,0.57309,50,0.56487,6,0.54993,20,0.58156,12,0.51658,38,0.58269,14,0.56096,12,0.58721,20,0.54887,21,0.62909,9,0.46033,10,0.63137,8,0.55609,11,0.58465,6,0.49929,6,0.60445,5,0.54959,4,0.67154,3,0.56844,4,0.63525,1,0.6678,7,0.55368,5,0.46536,8,0.60433,12,0.56353,13,0.72012,25,0.51179,6,0.58956,7,0.6305,8,0.54097,7,0.63023
314,A,f,2,0.97297,0.91079,24,1.098,49,0.81915,6,1.2238,18,1.0544,11,0.98333,38,0.77335,14,1.1123,10,1.0777,23,0.81635,16,0.86209,10,0.75467,3,0.95881,11,0.94211,14,0.92735,2,1.0819,2,1.1013,6,1.0071,1,0.67066,5,0.86572,5,1.3398,1,1.1252,9,0.69773,1,1.0386,8,0.97479,10,1.1196,14,0.73137,24,0.7943,7,1.1507,6,1.2351,7,1.0727,6,1.2415
297,A,f,1,0.98649,0.57083,28,0.63039,53,0.53961,7,0.61505,21,0.63415,13,0.60347,40,0.51903,15,0.61368,13,0.64814,22,0.55386,22,0.55482,9,0.46686,9,0.63975,10,0.6087,6,0.57497,6,0.56496,8,0.63967,4,0.60475,1,0.63578,6,0.61309,3,0.70132,4,0.5834,3,0.4496,2,0.529,9,0.61862,12,0.64772,14,0.55313,26,0.50099,7,0.55023,6,0.66949,8,0.66843,6,0.66926
657,A,f,2,0.97297,0.76372,25,0.76802,50,0.76021,6,0.77191,19,0.76761,13,0.82509,37,0.73891,13,0.79539,12,0.74003,20,0.76766,20,0.84029,10,0.59007,7,1.0056,7,0.85339,5,0.7283,11,0.64372,3,0.81555,3,0.85417,4,1.1504,4,0.85438,1,1.1136,7,0.65324,4,0.63198,4,0.63227,7,0.71923,12,0.79623,13,0.74737,24,0.73559,8,0.78086,4,0.83577,5,0.81573,4,0.83758
354,a,f,1,0.97973,0.53455,30,0.52673,63,0.53822,8,0.61252,22,0.49569,16,0.58252,47,0.52344,17,0.56633,13,0.47447,25,0.55386,28,0.5673,10,0.41919,12,0.56691,13,0.4937,13,0.61103,13,0.49175,5,0.44679,7,0.49278,7,0.65375,6,0.49636,5,0.63233,3,0.48195,8,0.59689,10,0.49569,9,0.51623,13,0.48225,21,0.52208,26,0.52523,9,0.60562,5,0.47925,8,0.52342,5,0.47913
354,A,F,2,0.96622,0.74444,29,0.68802,60,0.77182,9,0.73744,20,0.66744,13,0.85326,47,0.74979,15,0.59107,14,0.79626,26,0.72245,27,0.84379,7,0.67643,6,0.89583,11,0.73913,15,0.54185,14,0.78272,3,0.7736,3,0.62589,3,1.0098,8,0.78135,7,0.45697,6,0.90063,8,0.61537,8,0.69143,10,0.75179,10,0.58069,19,0.7011,28,0.78064,8,0.66318,6,1.0396,7,0.50408,6,1.0423
